# Pass B, proposal A — bottom-up clustering of the Pass A predicament phrases.
# One row per DISTINCT phrase. key = the N2 normalisation used to join back to the readings
# (NFKD, diacritics stripped, lowercased, non-alphanumerics to space, a/an/the dropped, word
# order preserved). surface = one film's actual wording, kept so the row is readable.
# Every assignment here was made by reading the phrase. No string similarity, no vectors,
# no stemming, no Jaccard. Phrases absent from this file are "none of these" and are listed
# in pipeline/out/predicates-propA.json under unclustered.
# predicateId	axis	roles	label	key	surface
a-person-given-up-for-dead-returns	identity	returning,mourning	Someone counted dead comes back	beloved returns emptied of all memory	a beloved returns emptied of all memory
a-person-given-up-for-dead-returns	identity	returning,mourning	Someone counted dead comes back	man reported dead comes back alive	a man reported dead comes back alive
a-person-given-up-for-dead-returns	identity	returning,mourning	Someone counted dead comes back	person given up for dead returns alive	a person given up for dead returns alive
a-person-is-remade-into-what-others-need	identity	remaking,remade	A person is rebuilt to fit someone else's requirement	person is remade into what others need	a person is remade into what others need
a-person-is-remade-into-what-others-need	identity	remaking,remade	A person is rebuilt to fit someone else's requirement	man is made useful by his captors	a man is made useful by his captors
a-person-is-remade-into-what-others-need	identity	remaking,remade	A person is rebuilt to fit someone else's requirement	person becomes proof of another s belief	a person becomes the proof of another's belief
a-person-is-remade-into-what-others-need	identity	remaking,remade	A person is rebuilt to fit someone else's requirement	someone is made to forget their own life	someone is made to forget their own life
a-person-is-taken-away-without-explanation	violence	taken,left	Someone is taken and no account of it is ever given	loved one is taken away by strangers	a loved one is taken away by strangers
a-person-is-taken-away-without-explanation	violence	taken,left	Someone is taken and no account of it is ever given	someone is taken away leaving no trace	someone is taken away leaving no trace
a-person-walks-knowingly-toward-death	death	walking,watching	Someone goes on toward a death they can see coming	man arranges his own death deliberately	a man arranges his own death deliberately
a-person-walks-knowingly-toward-death	death	walking,watching	Someone goes on toward a death they can see coming	person walks knowingly toward their own death	a person walks knowingly toward their own death
a-person-walks-knowingly-toward-death	death	walking,watching	Someone goes on toward a death they can see coming	coward chooses death over one more insult	a coward chooses death over one more insult
a-person-walks-knowingly-toward-death	death	walking,watching	Someone goes on toward a death they can see coming	group ends its shared life on purpose	a group ends its shared life on purpose
a-person-walks-knowingly-toward-death	death	walking,watching	Someone goes on toward a death they can see coming	man walks into death he foresaw	a man walks into the death he foresaw
a-person-walks-knowingly-toward-death	death	walking,watching	Someone goes on toward a death they can see coming	men choose death over living with defeat	men choose death over living with defeat
a-person-walks-knowingly-toward-death	death	walking,watching	Someone goes on toward a death they can see coming	one dies rather than take back word	one dies rather than take back a word
a-person-walks-knowingly-toward-death	death	walking,watching	Someone goes on toward a death they can see coming	someone stakes their life on private test	someone stakes their life on a private test
a-prophecy-brings-itself-about	truth	foretelling,foretold	Being told the future is what makes it happen	being told future makes it come true	being told the future makes it come true
a-prophecy-brings-itself-about	truth	foretelling,foretold	Being told the future is what makes it happen	doomed man alone is not told	the doomed man alone is not told
a-prophecy-brings-itself-about	truth	foretelling,foretold	Being told the future is what makes it happen	foretold death is then brought about	a foretold death is then brought about
a-prophecy-brings-itself-about	truth	foretelling,foretold	Being told the future is what makes it happen	life is arranged around prophecy	a life is arranged around a prophecy
a-prophecy-brings-itself-about	truth	foretelling,foretold	Being told the future is what makes it happen	people are governed by predictions someone invents	people are governed by predictions someone invents
a-prophecy-brings-itself-about	truth	foretelling,foretold	Being told the future is what makes it happen	someone foresees harm they cannot prevent	someone foresees harm they cannot prevent
a-prophecy-brings-itself-about	truth	foretelling,foretold	Being told the future is what makes it happen	someone is instructed by voice never seen	someone is instructed by a voice never seen
a-secret-kept-from-the-one-loved	truth	concealing,concealed-from	The thing concealed is concealed from the person nearest	partner conceals what would end bond	a partner conceals what would end the bond
a-secret-kept-from-the-one-loved	truth	concealing,concealed-from	The thing concealed is concealed from the person nearest	secret is kept from one loved	a secret is kept from the one loved
a-secret-kept-from-the-one-loved	truth	concealing,concealed-from	The thing concealed is concealed from the person nearest	each partner hides same secret	each partner hides the same secret
a-secret-kept-from-the-one-loved	truth	concealing,concealed-from	The thing concealed is concealed from the person nearest	lover hides what he really is	a lover hides what he really is
a-secret-kept-from-the-one-loved	truth	concealing,concealed-from	The thing concealed is concealed from the person nearest	man conceals his work from beloved	a man conceals his work from the beloved
a-sudden-fortune-unsettles-an-ordinary-life	exchange	enriched,circling	Money arrives and undoes the people it reaches	sudden fortune unsettles ordinary life	a sudden fortune unsettles an ordinary life
a-sudden-fortune-unsettles-an-ordinary-life	exchange	enriched,circling	Money arrives and undoes the people it reaches	fortune draws people to failing mind	a fortune draws people to a failing mind
a-sudden-fortune-unsettles-an-ordinary-life	exchange	enriched,circling	Money arrives and undoes the people it reaches	windfall cannot be spent without exposure	a windfall cannot be spent without exposure
a-woman-is-shamed-for-her-own-violation	power	violated,shaming	The violated party is the one held to account	woman is forced by familiar man	a woman is forced by a familiar man
a-woman-is-shamed-for-her-own-violation	power	violated,shaming	The violated party is the one held to account	woman is shamed for her own violation	a woman is shamed for her own violation
a-woman-is-shamed-for-her-own-violation	power	violated,shaming	The violated party is the one held to account	father preys on his own daughter	a father preys on his own daughter
a-woman-is-shamed-for-her-own-violation	power	violated,shaming	The violated party is the one held to account	trusted adult forces himself on child	a trusted adult forces himself on a child
a-woman-is-shamed-for-her-own-violation	power	violated,shaming	The violated party is the one held to account	two lovers pay unequally for same act	two lovers pay unequally for the same act
a-woman-is-shamed-for-her-own-violation	power	violated,shaming	The violated party is the one held to account	woman is seduced for what she guards	a woman is seduced for what she guards
a-womans-life-is-decided-by-others	power	deciding,decided	A woman's course is settled by people who do not consult her	woman is claimed then cast aside	a woman is claimed then cast aside
a-womans-life-is-decided-by-others	power	deciding,decided	A woman's course is settled by people who do not consult her	community polices what woman does privately	a community polices what a woman does privately
a-womans-life-is-decided-by-others	power	deciding,decided	A woman's course is settled by people who do not consult her	same words count only from man	the same words count only from a man
a-womans-life-is-decided-by-others	power	deciding,decided	A woman's course is settled by people who do not consult her	woman is looked at rather than heard	a woman is looked at rather than heard
a-womans-life-is-decided-by-others	power	deciding,decided	A woman's course is settled by people who do not consult her	woman is loved only as another woman	a woman is loved only as another woman
a-womans-life-is-decided-by-others	power	deciding,decided	A woman's course is settled by people who do not consult her	women return home after men fail them	women return home after the men fail them
a-womans-life-is-decided-by-others	power	deciding,decided	A woman's course is settled by people who do not consult her	young woman refuses to be governed	a young woman refuses to be governed
accomplices-turn-on-each-other	bond	accomplice,accomplice	Accomplices turn on each other once the thing is done	accomplice balks at what plan requires	an accomplice balks at what the plan requires
accomplices-turn-on-each-other	bond	accomplice,accomplice	Accomplices turn on each other once the thing is done	companion refuses to share remorse	a companion refuses to share the remorse
accomplices-turn-on-each-other	bond	accomplice,accomplice	Accomplices turn on each other once the thing is done	partner turns on partner in crime	a partner turns on the partner in crime
accomplices-turn-on-each-other	bond	accomplice,accomplice	Accomplices turn on each other once the thing is done	partners turn on each other after deed	partners turn on each other after the deed
accomplices-turn-on-each-other	bond	accomplice,accomplice	Accomplices turn on each other once the thing is done	two friends turn on each other afterward	two friends turn on each other afterward
accomplices-turn-on-each-other	bond	accomplice,accomplice	Accomplices turn on each other once the thing is done	two partners each expect other to betray	two partners each expect the other to betray
an-injury-is-repaid-in-kind-years-later	violence	repaying,repaid	An old humiliation is answered exactly, long afterwards	help is repaid with violence	help is repaid with violence
an-injury-is-repaid-in-kind-years-later	violence	repaying,repaid	An old humiliation is answered exactly, long afterwards	injury to friend is avenged	an injury to a friend is avenged
an-injury-is-repaid-in-kind-years-later	violence	repaying,repaid	An old humiliation is answered exactly, long afterwards	slight is repaid years later	a slight is repaid years later
an-injury-is-repaid-in-kind-years-later	violence	repaying,repaid	An old humiliation is answered exactly, long afterwards	act of mercy is answered with attack	an act of mercy is answered with attack
an-injury-is-repaid-in-kind-years-later	violence	repaying,repaid	An old humiliation is answered exactly, long afterwards	each side answers other s cruelty with worse	each side answers the other's cruelty with worse
an-injury-is-repaid-in-kind-years-later	violence	repaying,repaid	An old humiliation is answered exactly, long afterwards	humiliation is repaid with humiliation	humiliation is repaid with humiliation
an-injury-is-repaid-in-kind-years-later	violence	repaying,repaid	An old humiliation is answered exactly, long afterwards	old wrong keeps helper away	an old wrong keeps the helper away
an-open-secret-nobody-acts-on	truth	knowing,unmoved	Everyone knows and nobody moves	discontented talk instead of acting	the discontented talk instead of acting
an-open-secret-nobody-acts-on	truth	knowing,unmoved	Everyone knows and nobody moves	no one acts on crime everyone knows	no one acts on a crime everyone knows
an-open-secret-nobody-acts-on	truth	knowing,unmoved	Everyone knows and nobody moves	person sees everything then says nothing	a person sees everything then says nothing
an-open-secret-nobody-acts-on	truth	knowing,unmoved	Everyone knows and nobody moves	no one asks why request was made	no one asks why the request was made
an-open-secret-nobody-acts-on	truth	knowing,unmoved	Everyone knows and nobody moves	one person lets another s lie stand unchallenged	one person lets another's lie stand unchallenged
an-open-secret-nobody-acts-on	truth	knowing,unmoved	Everyone knows and nobody moves	onlookers plead fear to excuse doing nothing	onlookers plead fear to excuse doing nothing
an-open-secret-nobody-acts-on	truth	knowing,unmoved	Everyone knows and nobody moves	those who demanded courage will not appear	those who demanded courage will not appear
another-hand-runs-your-life	power	steering,steered	Someone else has been making the decisions of a person's life	others decide what work person should do	others decide what work a person should do
another-hand-runs-your-life	power	steering,steered	Someone else has been making the decisions of a person's life	child s future hangs on strangers judgement	a child's future hangs on strangers' judgement
another-hand-runs-your-life	power	steering,steered	Someone else has been making the decisions of a person's life	everyone tells young man what to want	everyone tells a young man what to want
another-hand-runs-your-life	power	steering,steered	Someone else has been making the decisions of a person's life	one person takes charge of another s whole life	one person takes charge of another's whole life
another-hand-runs-your-life	power	steering,steered	Someone else has been making the decisions of a person's life	one person tells another their life is imagined	one person tells another their life is imagined
another-hand-runs-your-life	power	steering,steered	Someone else has been making the decisions of a person's life	partner s suggestion redirects other s whole life	a partner's suggestion redirects the other's whole life
another-hand-runs-your-life	power	steering,steered	Someone else has been making the decisions of a person's life	people hand over steering of their lives	people hand over the steering of their lives
another-hand-runs-your-life	power	steering,steered	Someone else has been making the decisions of a person's life	someone discovers they were selected long before meeting	someone discovers they were selected long before meeting
another-hand-runs-your-life	power	steering,steered	Someone else has been making the decisions of a person's life	someone learns their life was arranged without them	someone learns their life was arranged without them
another-takes-the-credit	exchange	making,credited	The work is one person's and the name on it is another's	anonymous gift is credited to another man	an anonymous gift is credited to another man
another-takes-the-credit	exchange	making,credited	The work is one person's and the name on it is another's	another takes credit for one s work	another takes credit for one's work
another-takes-the-credit	exchange	making,credited	The work is one person's and the name on it is another's	man is honoured for what another did	a man is honoured for what another did
another-takes-the-credit	exchange	making,credited	The work is one person's and the name on it is another's	work is remembered under another name	the work is remembered under another name
answerable-for-what-was-done-below	power	commanding,acting	A commander is held to account for what his men did	cruelty is blamed on unseen hand	cruelty is blamed on an unseen hand
answerable-for-what-was-done-below	power	commanding,acting	A commander is held to account for what his men did	leader cannot stop his own men s cruelty	a leader cannot stop his own men's cruelty
answerable-for-what-was-done-below	power	commanding,acting	A commander is held to account for what his men did	leader ends fight to save lives	a leader ends the fight to save lives
answerable-for-what-was-done-below	power	commanding,acting	A commander is held to account for what his men did	leader is answerable for his men s crimes	a leader is answerable for his men's crimes
answerable-for-what-was-done-below	power	commanding,acting	A commander is held to account for what his men did	someone insists they only did their part	someone insists they only did their part
authority-answers-complaint-with-force	power	demanding,answering	A request from below is met as insubordination	armed advance on unarmed in ranks	the armed advance on the unarmed in ranks
authority-answers-complaint-with-force	power	demanding,answering	A request from below is met as insubordination	complaint is answered as disobedience	complaint is answered as disobedience
authority-answers-complaint-with-force	power	demanding,answering	A request from below is met as insubordination	demand from below is answered with force	a demand from below is answered with force
authority-answers-complaint-with-force	power	demanding,answering	A request from below is met as insubordination	promise of escape is offered then withdrawn	a promise of escape is offered then withdrawn
beloved-already-bound	bond	desiring,desired,holder	The one desired is already promised or belongs to another	lover is found to belong to another	a lover is found to belong to another
